home_team,home_q1,home_q2,home_q3,home_q4,home_q5,home_final,away_team,away_q1,away_q2,away_q3,away_q4,away_q5,away_final,season,week
Tampa Bay BuccaneersTampa Bay (0-1),7,3,0,3,13,13,New York GiantsNY Giants (1-0),7,3,6,3,19,19,1978,1
Detroit LionsDetroit (0-1),0,0,7,0,7,7,Green Bay PackersGreen Bay (1-0),6,0,7,0,13,13,1978,1
Atlanta FalconsAtlanta (1-0),0,14,3,3,20,20,Houston OilersHouston (0-1),7,0,7,0,14,14,1978,1
Cincinnati BengalsCincinnati (0-1),0,9,0,14,23,23,Kansas City ChiefsKansas City (1-0),7,10,7,0,24,24,1978,1
Philadelphia EaglesPhiladelphia (0-1),0,0,0,14,14,14,Los Angeles RamsLos Angeles (1-0),3,3,0,10,16,16,1978,1
New York JetsNY Jets (1-0),10,10,7,6,33,33,Miami DolphinsMiami (0-1),0,6,7,7,20,20,1978,1
New Orleans SaintsNew Orleans (1-0),14,10,0,7,31,31,Minnesota VikingsMinnesota (0-1),7,10,0,7,24,24,1978,1
Buffalo BillsBuffalo (0-1),0,0,0,17,17,17,Pittsburgh SteelersPittsburgh (1-0),0,14,0,14,28,28,1978,1
Chicago BearsChicago (1-0),3,0,0,14,17,17,St. Louis CardinalsSt. Louis (0-1),0,3,0,7,10,10,1978,1
Cleveland BrownsCleveland (1-0),7,7,0,10,24,24,San Francisco 49ersSan Francisco (0-1),0,7,0,0,7,7,1978,1
New England PatriotsNew England (0-1),0,0,7,7,14,14,Washington RedskinsWashington (1-0),3,0,6,7,16,16,1978,1
Denver BroncosDenver (1-0),0,7,0,7,14,14,Oakland RaidersOakland (0-1),0,0,3,3,6,6,1978,1
Seattle SeahawksSeattle (0-1),6,7,0,7,20,20,San Diego ChargersSan Diego (1-0),7,3,7,7,24,24,1978,1
Dallas CowboysDallas (1-0),0,21,14,3,38,38,Baltimore ColtsBaltimore (0-1),0,0,0,0,0,0,1978,1
Tampa Bay BuccaneersTampa Bay (0-2),7,0,0,0,7,7,Detroit LionsDetroit (1-1),9,3,0,3,15,15,1978,2
Cleveland BrownsCleveland (2-0),0,0,3,7,3,13,Cincinnati BengalsCincinnati (0-2),7,3,0,0,0,10,1978,2
New York GiantsNY Giants (1-1),0,7,10,7,24,24,Dallas CowboysDallas (2-0),7,14,6,7,34,34,1978,2
Kansas City ChiefsKansas City (1-1),0,10,7,0,17,17,Houston OilersHouston (1-1),3,3,0,14,20,20,1978,2
St. Louis CardinalsSt. Louis (0-2),0,0,6,0,6,6,New England PatriotsNew England (1-1),3,13,0,0,16,16,1978,2
Green Bay PackersGreen Bay (2-0),7,7,7,7,28,28,New Orleans SaintsNew Orleans (1-1),3,7,0,7,17,17,1978,2
Washington RedskinsWashington (2-0),7,14,7,7,35,35,Philadelphia EaglesPhiladelphia (0-2),7,3,6,14,30,30,1978,2
Pittsburgh SteelersPittsburgh (2-0),0,14,0,7,21,21,Seattle SeahawksSeattle (0-2),0,7,3,0,10,10,1978,2
Los Angeles RamsLos Angeles (2-0),0,3,0,7,10,10,Atlanta FalconsAtlanta (1-1),0,0,0,0,0,0,1978,2
San Francisco 49ersSan Francisco (0-2),7,3,0,3,13,13,Chicago BearsChicago (2-0),3,3,3,7,16,16,1978,2
Baltimore ColtsBaltimore (0-2),0,0,0,0,0,0,Miami DolphinsMiami (1-1),14,14,0,14,42,42,1978,2
Buffalo BillsBuffalo (0-2),0,7,0,13,20,20,New York JetsNY Jets (2-0),0,7,7,7,21,21,1978,2
San Diego ChargersSan Diego (1-1),0,13,0,7,20,20,Oakland RaidersOakland (1-1),0,7,0,14,21,21,1978,2
Minnesota VikingsMinnesota (1-1),3,0,6,0,3,12,Denver BroncosDenver (1-1),0,0,0,9,0,9,1978,2
Detroit LionsDetroit (1-2),0,0,0,0,0,0,Chicago BearsChicago (3-0),0,7,12,0,19,19,1978,3
Atlanta FalconsAtlanta (1-2),3,7,0,6,16,16,Cleveland BrownsCleveland (3-0),0,17,0,7,24,24,1978,3
New York GiantsNY Giants (2-1),14,6,3,3,26,26,Kansas City ChiefsKansas City (1-2),0,7,0,3,10,10,1978,3
Green Bay PackersGreen Bay (2-1),0,3,0,0,3,3,Oakland RaidersOakland (2-1),0,14,0,14,28,28,1978,3
New Orleans SaintsNew Orleans (1-2),7,0,7,3,17,17,Philadelphia EaglesPhiladelphia (1-2),0,7,10,7,24,24,1978,3
Cincinnati BengalsCincinnati (0-3),0,3,0,0,3,3,Pittsburgh SteelersPittsburgh (3-0),14,7,7,0,28,28,1978,3
Houston OilersHouston (2-1),7,3,7,3,20,20,San Francisco 49ersSan Francisco (0-3),0,6,6,7,19,19,1978,3
New York JetsNY Jets (2-1),7,7,3,0,17,17,Seattle SeahawksSeattle (1-2),0,14,3,7,24,24,1978,3
Minnesota VikingsMinnesota (1-2),7,0,0,3,10,10,Tampa Bay BuccaneersTampa Bay (1-2),3,6,7,0,16,16,1978,3
St. Louis CardinalsSt. Louis (0-3),3,0,0,7,10,10,Washington RedskinsWashington (3-0),7,14,7,0,28,28,1978,3
Miami DolphinsMiami (2-1),7,7,10,7,31,31,Buffalo BillsBuffalo (0-3),0,7,3,14,24,24,1978,3
Los Angeles RamsLos Angeles (3-0),7,7,0,13,27,27,Dallas CowboysDallas (2-1),0,7,0,7,14,14,1978,3
Denver BroncosDenver (2-1),7,0,6,14,27,27,San Diego ChargersSan Diego (1-2),0,14,0,0,14,14,1978,3
New England PatriotsNew England (1-2),6,7,0,14,27,27,Baltimore ColtsBaltimore (1-2),0,7,0,27,34,34,1978,3
Buffalo BillsBuffalo (1-3),14,10,0,0,24,24,Baltimore ColtsBaltimore (1-3),0,14,3,0,17,17,1978,4
Pittsburgh SteelersPittsburgh (4-0),3,0,0,6,6,15,Cleveland BrownsCleveland (3-1),0,6,3,0,0,9,1978,4
Kansas City ChiefsKansas City (1-3),7,3,7,0,0,17,Denver BroncosDenver (3-1),7,3,7,0,6,23,1978,4
Houston OilersHouston (2-2),0,3,0,3,6,6,Los Angeles RamsLos Angeles (4-0),7,3,0,0,10,10,1978,4
Philadelphia EaglesPhiladelphia (2-2),0,7,0,10,17,17,Miami DolphinsMiami (2-2),3,0,0,0,3,3,1978,4
Cincinnati BengalsCincinnati (0-4),3,10,0,5,18,18,New Orleans SaintsNew Orleans (2-2),0,10,0,10,20,20,1978,4
