home_name,home_q1,home_q2,home_q3,home_q4,home_final,away_name,away_q1,away_q2,away_q3,away_q4,away_final,year,week
Chicago,7,7,0,7,21,Tampa Bay,0,3,6,0,9,1994,1
Cincinnati,0,10,3,7,20,Cleveland,11,14,0,3,28,1994,1
Detroit,7,0,7,14,31,Atlanta,0,7,7,14,28,1994,1
Green Bay,3,10,0,3,16,Minnesota,0,0,3,7,10,1994,1
Indianapolis,7,20,7,3,37,Houston,0,0,0,21,21,1994,1
New Orleans,0,3,7,7,17,Kansas City,7,10,3,10,30,1994,1
N.Y. Giants,14,7,7,0,28,Philadelphia,0,10,3,10,23,1994,1
Washington,7,0,0,0,7,Seattle,7,14,7,0,28,1994,1
Pittsburgh,0,3,0,6,9,Dallas,3,13,0,10,26,1994,1
L.A. Rams,7,0,7,0,14,Arizona,0,6,6,0,12,1994,1
Miami,0,10,15,14,39,New England,7,7,14,7,35,1994,1
Buffalo,3,0,0,0,3,N.Y. Jets,0,17,3,3,23,1994,1
Denver,17,7,3,7,34,San Diego,6,21,3,7,37,1994,1
San Francisco,14,9,0,21,44,L.A. Raiders,0,14,0,0,14,1994,1
Atlanta,14,3,7,7,31,L.A. Rams,0,7,0,6,13,1994,2
New England,7,7,7,14,35,Buffalo,14,14,0,10,38,1994,2
Kansas City,7,2,15,0,24,San Francisco,0,14,0,3,17,1994,2
Green Bay,0,0,0,14,14,Miami,3,14,7,0,24,1994,2
Minnesota,3,7,0,0,10,Detroit,0,0,0,3,3,1994,2
Cleveland,7,3,0,0,10,Pittsburgh,0,14,0,3,17,1994,2
Tampa Bay,7,3,7,7,24,Indianapolis,0,3,7,0,10,1994,2
Dallas,7,6,7,0,20,Houston,3,7,0,7,17,1994,2
N.Y. Jets,7,7,0,8,25,Denver,0,13,6,3,22,1994,2
San Diego,3,10,7,7,27,Cincinnati,3,0,0,7,10,1994,2
L.A. Raiders,3,0,0,6,9,Seattle,7,3,14,14,38,1994,2
New Orleans,3,0,6,15,24,Washington,14,0,14,10,38,1994,2
Arizona,3,7,0,7,17,N.Y. Giants,6,14,0,0,20,1994,2
Philadelphia,7,17,6,0,30,Chicago,0,0,0,22,22,1994,2
Houston,0,0,0,7,7,Buffalo,0,9,3,3,15,1994,3
Cleveland,0,3,15,14,32,Arizona,0,0,0,0,0,1994,3
